name,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
IMU24,1695914242292000000,9.842562675476074,-0.08858545869588852,0.038307227194309235,0.0625,-0.125,-0.0625,-13.960000038146973,14.199999809265137,-174.46153259277344
IMU24,1695914242438000000,9.84495735168457,-0.1173158809542656,0.004788403399288654,-0.0625,0,0.125,-13.84000015258789,14.119999885559082,-174.6923065185547
IMU24,1695914242584000000,9.832985877990723,-0.08619125932455063,0.023942016065120697,0.0625,0,0,-13.880000114440918,14.319999694824219,-174.61538696289062
IMU24,1695914242633000000,9.84735107421875,-0.05267243832349777,0.019153613597154617,0,0,0,-13.880000114440918,14.119999885559082,-174.3076934814453
IMU24,1695914242682000000,9.842562675476074,-0.07422025501728058,0.031124621629714966,0.0625,-0.125,0,-13.800000190734863,13.920000076293945,-173.76922607421875
IMU24,1695914242780000000,9.816226959228516,-0.07661445438861847,0.016759412363171577,0,-0.1875,0,-13.84000015258789,14.239999771118164,-174.53846740722656
IMU24,1695914242926000000,9.832985877990723,-0.07422025501728058,-0.021547814831137657,0,-0.0625,0,-14.119999885559082,13.880000114440918,-174.53846740722656
IMU24,1695914242975000000,9.840168952941895,-0.11252747476100922,0.021547814831137657,-0.0625,-0.0625,-0.0625,-14.279999732971191,14.079999923706055,-174.38461303710938
IMU24,1695914243072000000,9.835380554199219,-0.08619125932455063,0.021547814831137657,0.0625,0,0.0625,-14.039999961853027,14.039999961853027,-174.84616088867188
IMU24,1695914243169000000,9.861716270446777,-0.031124621629714966,0.002394201699644327,0.0625,0.0625,0,-14.039999961853027,14.039999961853027,-174.6923065185547
IMU24,1695914243267000000,9.840168952941895,-0.06224924325942993,0.031124621629714966,0.0625,-0.125,0,-13.920000076293945,14.359999656677246,-174.6923065185547
IMU24,1695914243413000000,9.81143856048584,-0.09576806426048279,0.033518824726343155,0,0.0625,0.0625,-13.920000076293945,14.199999809265137,-173.92308044433594
IMU24,1695914243511000000,9.849745750427246,-0.06224924325942993,-0.016759412363171577,0.0625,-0.0625,0,-13.920000076293945,14.4399995803833,-174.15383911132812
IMU24,1695914243608000000,9.849745750427246,-0.08858545869588852,0.043095629662275314,-0.0625,0,0.0625,-13.640000343322754,14.15999984741211,-174.07691955566406
IMU24,1695914243754000000,9.859322547912598,-0.07422025501728058,0.004788403399288654,0,-0.0625,0,-13.960000038146973,14.319999694824219,-174.76922607421875
IMU24,1695914243803000000,9.818620681762695,-0.06464344263076782,0,0,0,0,-13.760000228881836,14.359999656677246,-174.76922607421875
IMU24,1695914243901000000,9.852139472961426,-0.0694318488240242,0.0071826050989329815,-0.0625,-0.0625,0,-13.920000076293945,14.199999809265137,-175.07691955566406
IMU24,1695914243998000000,9.840168952941895,-0.05506663769483566,0.0071826050989329815,0,0,0,-13.960000038146973,14.119999885559082,-174.38461303710938
IMU24,1695914244095000000,9.842562675476074,-0.08858545869588852,-0.009576806798577309,-0.0625,-0.125,-0.125,-13.880000114440918,14.039999961853027,-174.76922607421875
IMU24,1695914244193000000,9.84735107421875,-0.06703764945268631,0.023942016065120697,0.0625,-0.0625,0,-13.920000076293945,14.15999984741211,-174.6923065185547
IMU24,1695914244290000000,9.821015357971191,-0.05746084079146385,0.014365210197865963,0,-0.0625,-0.125,-13.960000038146973,14.079999923706055,-174.53846740722656
IMU24,1695914244389000000,9.842562675476074,-0.08619125932455063,0.004788403399288654,0,0,0.0625,-13.920000076293945,14.319999694824219,-174.61538696289062
IMU24,1695914244485000000,9.821015357971191,-0.09816227108240128,0.014365210197865963,0,0,0,-13.960000038146973,14.319999694824219,-174.38461303710938
IMU24,1695914244633000000,9.825803756713867,-0.08140285313129425,0.019153613597154617,0.0625,0.0625,0,-13.960000038146973,13.920000076293945,-174.53846740722656
